id,workflow_type,platform_id,status,created_by,created_date,last_modified_by,last_modified_date
1,SUPPLY_PLATFORMS,1,ACTIVE,933,2023-09-04 10:42:56.911814,933,2023-09-04 10:42:56.911814
2,SUPPLY_PLATFORMS,2,ACTIVE,933,2023-09-04 10:43:03.967985,933,2023-09-04 10:43:03.967985
12,CLIENT_CERTIFICATE_ORDER,4,DELETED,933,2023-09-04 10:48:41.135642,933,2023-09-04 10:48:41.135642
45,CLIENT_CERTIFICATE_ORDER,4,DELETED,933,2024-07-04 16:35:10.991683,933,2024-07-04 16:35:10.991683
7,PURCHASE_ORDER,3,ACTIVE,933,2023-09-04 10:46:06.147966,933,2023-09-04 10:46:06.147966
8,TRANSFER_ORDER,4,ACTIVE,933,2023-09-04 10:46:33.138416,933,2023-09-04 10:46:33.138416
9,TESOURO_VERDE_CERTIFICATE_ORDER,3,ACTIVE,933,2023-09-04 10:46:44.67677,933,2023-09-04 10:46:44.67677
48,CLIENT_CERTIFICATE_ORDER,4,ACTIVE,933,2024-07-04 16:39:40.200025,933,2024-07-04 16:39:40.200025
13,SAAS_TESOURO_VERDE_CERTIFICATE_ORDER,3,ACTIVE,933,2023-09-04 10:49:33.112321,933,2023-09-04 10:49:33.112321
14,SAAS_BMV_CERTIFICATE_ORDER,3,ACTIVE,933,2023-09-04 10:49:39.814421,933,2023-09-04 10:49:39.814421
15,MOVEMENT_INTENTION,3,ACTIVE,933,2023-09-04 10:49:51.679217,933,2023-09-04 10:49:51.679217
16,MOVEMENT_INTENTION,4,ACTIVE,933,2023-09-04 10:49:59.163311,933,2023-09-04 10:49:59.163311
17,ACCOUNT_ADJUSTMENTS_ORDER,2,ACTIVE,933,2023-09-04 10:50:12.813533,933,2023-09-04 10:50:12.813533
18,ACCOUNT_ADJUSTMENTS_ORDER,6,DELETED,933,2023-09-04 10:50:39.713548,933,2023-09-04 10:50:39.713548
19,ACCOUNT_ADJUSTMENTS_ORDER,6,INACTIVE,933,2023-09-04 10:51:18.828462,933,2023-09-04 10:51:18.828462
20,ACCOUNT_ADJUSTMENTS_ORDER,4,ACTIVE,933,2023-09-04 10:51:22.288313,933,2023-09-04 10:51:22.288313
21,ACCOUNT_ADJUSTMENTS_ORDER,3,ACTIVE,933,2023-09-04 10:51:25.466193,933,2023-09-04 10:51:25.466193
22,OWNERSHIP_TRANSFER_ORDER,4,ACTIVE,933,2023-09-04 10:59:19.760867,933,2023-09-04 10:59:19.760867
23,CPR_VERDE,2,ACTIVE,933,2023-09-04 10:59:42.222273,933,2023-09-04 10:59:42.222273
24,CPR_VERDE,6,ACTIVE,933,2023-09-04 10:59:44.265546,933,2023-09-04 10:59:44.265546
25,CPR_VERDE,7,ACTIVE,933,2023-09-04 10:59:46.258745,933,2023-09-04 10:59:46.258745
26,CPR_VERDE,4,ACTIVE,933,2023-09-04 10:59:49.258957,933,2023-09-04 10:59:49.258957
27,CPR_VERDE,1,ACTIVE,933,2023-09-04 10:59:51.169633,933,2023-09-04 10:59:51.169633
28,CPR_VERDE,5,ACTIVE,933,2023-09-04 10:59:53.105242,933,2023-09-04 10:59:53.105242
29,CPR_VERDE,3,ACTIVE,933,2023-09-04 10:59:55.219278,933,2023-09-04 10:59:55.219278
5,SUPPLY_PLATFORMS,4,DELETED,933,2023-09-04 10:43:50.452124,933,2023-09-04 10:43:50.452124
6,SUPPLY_PLATFORMS,4,DELETED,933,2023-09-04 10:45:48.098695,933,2023-09-04 10:45:48.098695
30,SUPPLY_PLATFORMS,4,ACTIVE,933,2023-09-06 15:28:37.477812,933,2023-09-06 15:28:37.477812
31,OWNERSHIP_TRANSFER_ORDER,2,ACTIVE,933,2023-09-11 08:58:12.585312,933,2023-09-11 08:58:12.585312
32,OWNERSHIP_TRANSFER_ORDER,1,ACTIVE,933,2023-09-16 17:59:20.565487,933,2023-09-16 17:59:20.565487
33,ACCOUNT_ADJUSTMENTS_ORDER,8,ACTIVE,933,2023-09-16 17:59:57.741078,933,2023-09-16 17:59:57.741078
3,SUPPLY_PLATFORMS,3,DELETED,933,2023-09-04 10:43:45.843523,933,2023-09-04 10:43:45.843523
4,SUPPLY_PLATFORMS,3,DELETED,933,2023-09-04 10:43:48.180771,933,2023-09-04 10:43:48.180771
34,SUPPLY_PLATFORMS,3,ACTIVE,933,2023-09-19 09:14:41.434287,933,2023-09-19 09:14:41.434287
35,OWNERSHIP_TRANSFER_ORDER,3,DELETED,933,2023-11-09 10:55:06.366045,933,2023-11-09 10:55:06.366045
36,OWNERSHIP_TRANSFER_ORDER,3,INACTIVE,933,2023-11-09 10:57:17.874279,933,2023-11-09 10:57:17.874279
10,TESOURO_VERDE_CERTIFICATE_ORDER,7,DELETED,933,2023-09-04 10:46:50.455343,933,2023-09-04 10:46:50.455343
11,TESOURO_VERDE_CERTIFICATE_ORDER,7,DELETED,933,2023-09-04 10:48:32.344368,933,2023-09-04 10:48:32.344368
37,TESOURO_VERDE_CERTIFICATE_ORDER,7,ACTIVE,933,2023-11-09 11:17:51.445082,933,2023-11-09 11:17:51.445082
38,CPR_VERDE,8,ACTIVE,933,2024-02-05 17:04:47.950917,933,2024-02-05 17:04:47.950917
39,ACCOUNT_ADJUSTMENTS_ORDER,5,ACTIVE,933,2024-02-27 09:11:03.237981,933,2024-02-27 09:11:03.237981
41,ACCOUNT_ADJUSTMENTS_ORDER,7,ACTIVE,933,2024-06-19 19:05:13.198874,933,2024-06-19 19:05:13.198874
42,CLIENT_CERTIFICATE_ORDER,3,DELETED,933,2024-07-04 16:29:38.077829,933,2024-07-04 16:29:38.077829
43,CLIENT_CERTIFICATE_ORDER,3,DELETED,933,2024-07-04 16:31:46.53724,933,2024-07-04 16:31:46.53724
44,CLIENT_CERTIFICATE_ORDER,3,DELETED,933,2024-07-04 16:33:08.102778,933,2024-07-04 16:33:08.102778
46,CLIENT_CERTIFICATE_ORDER,3,DELETED,933,2024-07-04 16:39:31.821902,933,2024-07-04 16:39:31.821902
47,CLIENT_CERTIFICATE_ORDER,3,DELETED,933,2024-07-04 16:39:34.135476,933,2024-07-04 16:39:34.135476
49,CLIENT_CERTIFICATE_ORDER,3,INACTIVE,933,2024-07-04 16:43:51.690897,933,2024-07-04 16:43:51.690897
50,TRANSFER_ORDER,2,ACTIVE,933,2024-07-10 15:28:33.415106,933,2024-07-10 15:28:33.415106
51,SUPPLY_PLATFORMS,5,DELETED,859,2024-09-30 17:12:25.387259,859,2024-09-30 17:12:25.387259
52,SUPPLY_PLATFORMS,5,INACTIVE,859,2024-09-30 17:12:33.254786,859,2024-09-30 17:12:33.254786
40,ACCOUNT_ADJUSTMENTS_ORDER,1,DELETED,933,2024-04-04 17:58:53.976755,933,2024-04-04 17:58:53.976755
53,ACCOUNT_ADJUSTMENTS_ORDER,1,INACTIVE,933,2024-10-11 10:54:07.776249,933,2024-10-11 10:54:07.776249
